TAZ_ID,pop_pct_min,pop_pct_non-min,pop_pct_low,pop_pct_non_low,dif_CO_sqmi,dif_CongVMT,dif_Retl60Trn,dif_Jobs60Trn,dif_HEdu40Trn,dif_Heal40Trn,dif_HwyAttrTm,dif_TrnAttrTm,dif_HwyProdTm,dif_TrnProdTm
43,0,1,0,1,-120.59928100000025,-6460.98900000006,-110,-1175,0,0,0.3340530000000044,-0.2163320000000013,0.30560700000000196,-0.24305000000000376
44,0,1,0,1,0,0,6,235,0,0,0.09319700000000353,-0.051212999999997066,0.20013500000000306,-0.08068099999999845
45,0,1,0,1,-12.621827999999937,-5253.138399999996,0,0,0,0,0.16701199999999972,-0.039794999999998026,0.2231480000000019,-0.06837100000000618
46,0.5,0.5,0.391304348,0.608695652,-1.5303960000000032,-256.48671000000104,-638,-5896,0,0,0.43954399999999794,-0.061751999999998475,0.340880999999996,-0.08328999999999809
47,0.086956522,0.913043478,0.272727273,0.727272727,1.5262379999999993,0,-493,-5013,0,0,0.1549230000000037,-0.12040700000000015,0.11317400000000077,-0.15549500000000194
48,0,1,0,1,9.864587000000029,-1695.1189000000013,-465,-4116,0,0,0.3340219999999974,-0.05973799999999585,0.1806750000000008,-0.09449800000000153
49,0,1,0,1,-7.053173000000015,11358.152020000001,-493,-5013,0,0,0.3941920000000039,-0.10592700000000121,0.3125800000000041,-0.13095500000000015
50,0.212643678,0.787356322,0.401785714,0.598214286,4.355551000000105,1686.589999999851,-710,-5703,0,0,0.256693999999996,-0.09692299999999676,0.29455500000000256,-0.12423300000000381
51,0,1,0.142857143,0.857142857,-11.157500999999911,-6117.346199999971,-780,-6134,0,0,0.2788269999999997,-0.11822300000000041,0.23685499999999848,-0.15582600000000113
52,0.5,0.5,0,1,-6.740086000000019,-2172.6742000000086,-1285,-7747,0,0,0.08505600000000157,-0.15667700000000195,0.13190499999999616,-0.1715199999999939
53,0,1,0,1,4.643494999999973,11584.019700000004,-628,-5341,0,0,0.11505099999999402,-0.11694699999999614,0.21235200000000276,-0.1608619999999945
54,0,1,0,1,0.4709799999999973,-368.77452999999514,-628,-5341,0,0,0.4771730000000005,-0.09298699999999371,0.031002000000000862,-0.13992700000000013
55,0.028571429,0.971428571,0.333333333,0.666666667,-13.095379999999977,-5732.198499999999,-189,207,0,0,0.22773800000000222,-0.06273300000000148,0.22171399999999863,-0.0918270000000021
56,0,1,0,1,0,0,-710,-5703,0,0,0.32925800000000294,-0.14397100000000052,0.3423349999999985,-0.1826860000000039
