"","TAZ_ID","State","County","Town","RPA","pop_pct_min","pop_pct_non-min","pop_pct_low","pop_pct_non_low","nb_Jobs60Trn","nb_Retl60Trn","nb_HEdu40Trn","nb_Heal40Trn","nb_TrnProdTm","nb_TrnAttrTm","nb_HwyProdTm","nb_HwyAttrTm","nb_CongVMT_sqmi","nb_CO_sqmi","b_Jobs60Trn","b_Retl60Trn","b_HEdu40Trn","b_Heal40Trn","b_TrnProdTm","b_TrnAttrTm","b_HwyProdTm","b_HwyAttrTm","b_CongVMT_sqmi","b_CO_sqmi"
"33",33,"MA","Suffolk","Boston","MAPC",0.322834646,0.677165354,0.328571429,0.671428571,1033041,120289,231980,5613.333496,38.912743,38.770294,47.542473,52.119503,166792.8553,397.617201,1029569,119529,231980,5613.333496,38.736263,38.655838,47.818901,52.359135,167583.9614,393.346161
"34",34,"MA","Suffolk","Boston","MAPC",0.137203166,0.862796834,0.334346505,0.665653495,1032903,118948,233145,5613.333496,31.716076,31.863909,37.445034,39.741158,0,0,1026317,118093,233145,5613.333496,31.555227,31.725397,37.603695,40.006104,0,0
"35",35,"MA","Suffolk","Boston","MAPC",0,1,0,1,1022327,119119,232631,5613.333496,37.92384,37.405724,50.160648,53.985355,40818.66967,106.242427,1022341,119002,232631,5613.333496,37.717922,37.233673,50.348278,54.096428,40083.83422,103.518911
"36",36,"MA","Suffolk","Boston","MAPC",0.286666667,0.713333333,0.315789474,0.684210526,1033353,120588,213166,5439.333496,37.344162,35.938156,47.715439,50.605549,124936.4838,218.677671,1027695,119882,213166,5439.333496,37.220673,35.851978,48.041027,50.923763,125924.948,218.730233
"37",37,"MA","Suffolk","Boston","MAPC",0.56,0.44,0,1,1035656,119442,212233,5242.333496,33.493305,32.346249,32.840855,32.666817,21183.24166,68.623853,1032904,118916,212233,5242.333496,33.445705,32.318787,33.139801,32.874683,20812.30895,66.842805
"38",38,"MA","Suffolk","Boston","MAPC",0,1,0,1,1022252,116885,212320,5439.333496,36.597347,36.052429,45.512478,45.726776,56266.54166,154.099588,1019451,116228,212320,5439.333496,36.468597,35.952984,45.962017,46.137062,55516.27025,151.623195
"39",39,"MA","Suffolk","Boston","MAPC",0.540816327,0.459183673,0,1,1012745,115101,205318,5242.333496,35.22892,34.717209,39.191166,37.52478,445738.2549,837.662536,1011534,114821,205318,5242.333496,35.124691,34.656311,39.690624,38.104073,413756.7675,786.404926
"40",40,"MA","Suffolk","Boston","MAPC",0.114285714,0.885714286,0.25,0.75,1035621,119027,234539,5613.333496,34.130695,33.732105,42.166664,46.886192,0,0,1029397,118254,234539,5613.333496,33.932205,33.536472,42.360012,47.200359,0,0
"41",41,"MA","Suffolk","Boston","MAPC",0.5,0.5,0,1,1024201,116753,232631,5613.333496,35.746765,34.822994,33.706898,37.985523,449602.5316,1012.62456,1021280,116440,232631,5613.333496,35.586861,34.696728,33.846958,38.150787,449262.0344,1039.818785
"42",42,"MA","Suffolk","Boston","MAPC",0.291970803,0.708029197,0.335276968,0.664723032,1031213,118121,231980,5613.333496,29.733639,29.379072,31.288235,32.908848,216175.5269,684.639063,1030551,118099,231980,5613.333496,29.656305,29.30018,31.500086,33.180256,216989.6661,685.642131
"43",43,"MA","Suffolk","Boston","MAPC",0,1,0,1,1022005,118006,231980,5613.333496,38.274498,37.591496,49.72295,52.342262,1655860.985,3431.232711,1020830,117896,231980,5613.333496,38.031448,37.375164,50.028557,52.676315,1649399.996,3310.63343
"44",44,"MA","Suffolk","Boston","MAPC",0,1,0,1,1022866,117475,231052,5155.833496,38.407978,37.685658,48.598537,49.788757,0,0,1023101,117481,231052,5155.833496,38.327297,37.634445,48.798672,49.881954,0,0
"45",45,"MA","Suffolk","Boston","MAPC",0,1,0,1,1005688,113787,212233,4958.833496,37.294853,36.629639,44.224308,44.47121,276792.121,675.734749,1005688,113787,212233,4958.833496,37.226482,36.589844,44.447456,44.638222,271538.9826,663.112921
"46",46,"MA","Suffolk","Boston","MAPC",0.5,0.5,0.391304348,0.608695652,995800,112131,205318,4807.333496,38.336613,37.787605,43.625534,42.949883,12569.62296,47.278713,989904,111493,205318,4807.333496,38.253323,37.725853,43.966415,43.389427,12313.13625,45.748317
"47",47,"MA","Suffolk","Boston","MAPC",0.086956522,0.913043478,0.272727273,0.727272727,1030030,116392,233145,5613.333496,33.331997,33.104492,34.34412,37.988586,0,32.467256,1025017,115899,233145,5613.333496,33.176502,32.984085,34.457294,38.143509,0,33.993494
"48",48,"MA","Suffolk","Boston","MAPC",0,1,0,1,1016973,116889,231980,5613.333496,37.625965,37.194675,47.767216,50.245289,468890.9842,1780.530528,1012857,116424,231980,5613.333496,37.531467,37.134937,47.947891,50.579311,467195.8653,1790.395115
"49",49,"MA","Suffolk","Boston","MAPC",0,1,0,1,1013398,115522,212320,5155.833496,39.505211,38.983517,48.654869,48.801201,31067.68088,336.764446,1008385,115029,212320,5155.833496,39.374256,38.87759,48.967449,49.195393,42425.8329,329.711273
"50",50,"MA","Suffolk","Boston","MAPC",0.212643678,0.787356322,0.401785714,0.598214286,996336,113480,223838,4455.833496,38.425285,37.968143,42.654137,43.438847,1264298.587,1304.571996,990633,112770,223838,4455.833496,38.301052,37.87122,42.948692,43.695541,1265985.177,1308.927547
"51",51,"MA","Suffolk","Boston","MAPC",0,1,0.142857143,0.857142857,1076191,124671,234539,5665.333496,31.926023,31.534342,40.876125,44.793671,499012.0658,1146.892829,1070057,123891,234539,5665.333496,31.770197,31.416119,41.11298,45.072498,492894.7196,1135.735328
"52",52,"MA","Suffolk","Boston","MAPC",0.5,0.5,0,1,1059076,121591,233145,5613.333496,34.063427,33.679546,41.142704,44.62249,173446.6497,556.307897,1051329,120306,233145,5613.333496,33.891907,33.522869,41.274609,44.707546,171273.9755,549.567811
"53",53,"MA","Suffolk","Boston","MAPC",0,1,0,1,1009286,114802,231980,5545.333496,39.602875,39.043251,46.036179,46.910912,159658.5361,494.084471,1003945,114174,231980,5545.333496,39.442013,38.926304,46.248531,47.025963,171242.5558,498.727966
"54",54,"MA","Suffolk","Boston","MAPC",0,1,0,1,1010619,114328,231698,5261.833496,37.356541,36.749382,41.314499,41.298622,91525.58387,232.586803,1005278,113700,231698,5261.833496,37.216614,36.656395,41.345501,41.775795,91156.80934,233.057783
"55",55,"MA","Suffolk","Boston","MAPC",0.028571429,0.971428571,0.333333333,0.666666667,1026344,116573,231980,5613.333496,37.729881,37.335423,45.005405,46.294277,215660.7707,822.073701,1026551,116384,231980,5613.333496,37.638054,37.27269,45.227119,46.522015,209928.5722,808.978321
"56",56,"MA","Suffolk","Boston","MAPC",0,1,0,1,1022225,116592,231980,5545.333496,39.659458,38.98856,47.327263,48.292469,0,0,1016522,115882,231980,5545.333496,39.476772,38.844589,47.669598,48.621727,0,0
"57",57,"MA","Suffolk","Boston","MAPC",0,1,0,1,1021956,116071,231785,5261.833496,39.602924,39.2514,44.078224,45.107368,0,64.275827,1016253,115361,231785,5261.833496,39.475559,39.175827,44.338001,45.318848,0,64.569994
"58",58,"MA","Suffolk","Boston","MAPC",0,1,0,1,1005100,114579,231486,5064.833496,41.148121,40.459354,46.57399,46.920055,0,0,999397,113869,231486,5064.833496,41.081711,40.444622,46.839939,47.253674,0,0
"59",59,"MA","Suffolk","Boston","MAPC",0,1,0,1,1024977,117476,231980,5095.333496,38.82803,38.537582,46.408546,47.395138,0,0,1024644,117227,231980,5095.333496,38.740475,38.480595,46.61676,47.469456,0,0
"60",60,"MA","Suffolk","Boston","MAPC",0,1,0,1,1017399,115407,231980,5095.333496,38.988178,38.28783,45.278919,46.168121,0,0,1011300,114652,231980,5095.333496,38.857277,38.197903,45.539661,46.331028,0,0
"61",61,"MA","Suffolk","Boston","MAPC",0.520634921,0.479365079,0.394230769,0.605769231,1084458,126660,234539,5665.333496,31.208529,30.973183,37.39175,41.084042,74219.31358,215.354985,1083337,126373,234539,5665.333496,31.064251,30.864571,37.564629,41.272263,73954.88819,212.721853
"62",62,"MA","Suffolk","Boston","MAPC",0.296741855,0.703258145,0.399026764,0.600973236,1042901,120049,233145,5613.333496,29.769936,29.930681,30.990328,34.817116,96466.9361,179.813747,1042350,119615,233145,5613.333496,29.594692,29.808197,31.094946,34.938389,95414.49773,177.176039
"63",63,"MA","Suffolk","Boston","MAPC",0.18627451,0.81372549,0,1,1078220,125528,233145,5613.333496,32.564125,32.676968,42.987061,46.555351,0,9.516089,1077761,125263,233145,5613.333496,32.373989,32.516083,43.150314,46.715511,0,9.581111
"64",64,"MA","Suffolk","Boston","MAPC",0.484375,0.515625,0.384615385,0.615384615,1040206,120687,231980,5613.333496,38.594097,38.298279,46.862331,48.465229,6252.375541,27.668742,1039675,120015,231980,5613.333496,38.463264,38.20602,47.131653,48.695694,6173.48148,27.610418
"65",65,"MA","Suffolk","Boston","MAPC",0.489583333,0.510416667,0.404255319,0.595744681,1039353,119071,231980,5163.333496,36.103497,36.227367,37.127106,40.318287,575782.8797,1596.555243,1038929,118831,231980,5163.333496,35.975418,36.152489,37.324471,40.453213,570199.9294,1553.657726
"66",66,"MA","Suffolk","Boston","MAPC",0,1,0.222222222,0.777777778,1023741,116490,231980,5095.333496,37.703671,37.048595,42.611706,43.720715,952486.45,1652.095368,1022231,115832,231980,5095.333496,37.608849,36.980114,42.82756,43.883972,972373.1841,1643.200505
"67",67,"MA","Suffolk","Boston","MAPC",0,1,0,1,1002903,113831,229434,4376.833496,41.237373,40.57616,46.366734,47.332478,1476411.318,2285.682735,996804,113076,229434,4376.833496,41.229176,40.605007,46.669727,47.559933,1223965.629,2166.733505
"68",68,"MA","Suffolk","Boston","MAPC",0,1,0,1,990159,112530,224571,4179.833496,41.165886,40.419407,47.092606,47.116482,753503.4438,1348.687642,982012,111775,224571,4179.833496,41.114521,40.417358,47.405849,47.386375,732337.2747,1313.417352
"69",69,"MA","Suffolk","Boston","MAPC",0.461197339,0.538802661,0.4,0.6,1048892,122413,233290,5665.333496,33.27832,33.318203,34.043442,38.091183,308131.977,619.809492,1048202,122196,233290,5665.333496,33.195827,33.284016,34.217606,38.178539,301583.7814,605.864505
"70",70,"MA","Suffolk","Boston","MAPC",0.978142077,0.021857923,0.404494382,0.595505618,1048415,121098,232631,5613.333496,34.424004,34.238808,36.98122,42.074646,11301.9512,29.425448,1048113,120954,232631,5613.333496,34.267159,34.189438,37.132668,42.210182,11086.44142,28.789878
"71",71,"MA","Suffolk","Boston","MAPC",0,1,0,1,996707,112828,231980,5163.333496,39.579334,39.447903,37.41637,35.818745,122115.0327,224.003604,997372,112831,231980,5163.333496,39.44738,39.357788,37.509396,36.066467,125066.3503,223.991657
"72",72,"MA","Suffolk","Boston","MAPC",0.050251256,0.949748744,0.288135593,0.711864407,1021973,116702,214278,4395.833496,34.962894,34.288437,34.73362,37.250843,175290.0491,388.045255,1019663,115998,214278,4395.833496,34.891533,34.247021,34.866962,37.442287,173665.1592,385.708331
