TAZ_ID,Town,Population,Households
695,Cambridge,1021,282
696,Cambridge,736,4
697,Cambridge,228,56
698,Cambridge,2007,994
699,Cambridge,848,510
700,Cambridge,1144,27
701,Cambridge,835,413
702,Cambridge,1241,687
703,Cambridge,2698,1463
704,Cambridge,1539,728
705,Cambridge,2067,960
706,Cambridge,1923,864
707,Cambridge,2273,994
708,Cambridge,1748,614
709,Cambridge,1218,476
710,Cambridge,1177,694
711,Cambridge,242,118
712,Cambridge,211,80
713,Cambridge,1226,579
714,Cambridge,827,342
715,Cambridge,2635,1281
716,Cambridge,92,27
717,Cambridge,1830,839
718,Cambridge,2031,1010
719,Cambridge,2357,1160
720,Cambridge,2602,1082
721,Cambridge,1251,647
722,Cambridge,3300,1427
723,Cambridge,0,0
724,Cambridge,0,0
725,Cambridge,1855,952
726,Cambridge,883,330
727,Cambridge,2198,1252
728,Cambridge,741,424
729,Brookline,2455,1207
730,Brookline,5369,2342
731,Brookline,3234,1518
732,Brookline,2623,1222
733,Brookline,3626,2085
734,Brookline,2151,1123
735,Brookline,4390,2131
736,Brookline,1707,736
737,Brookline,4352,2170
738,Brookline,2946,1466
739,Brookline,2189,1037
740,Brookline,2361,1020
741,Brookline,3276,1613
742,Brookline,2081,855
743,Brookline,1489,536
744,Brookline,1843,874
745,Brookline,1792,765
746,Brookline,2178,1139
747,Brookline,1348,549
748,Brookline,2896,1358
749,Brookline,1470,553
750,Brookline,2130,869
751,Brookline,1522,521
752,Brookline,1434,372
753,Brookline,1603,546
754,Brookline,1247,488
755,Brookline,4572,1912
756,Nahant,4181,1851
757,Lynn,2321,1240
758,Lynn,1547,1007
759,Lynn,3881,2067
760,Lynn,1574,716
761,Lynn,2636,1064
762,Lynn,1105,533
763,Lynn,2396,1092
764,Lynn,2097,1001
765,Lynn,1510,734
766,Lynn,4690,1578
767,Lynn,1949,762
768,Lynn,3130,1404
769,Lynn,2031,1132
770,Lynn,2934,1259
771,Lynn,2236,990
772,Lynn,1352,511
773,Lynn,2572,1112
774,Lynn,2999,1289
775,Lynn,2541,1052
776,Lynn,1850,719
777,Lynn,4221,1558
778,Lynn,2279,1034
779,Lynn,2620,1112
780,Lynn,3025,1133
781,Lynn,2172,1018
782,Lynn,2735,1176
783,Lynn,1453,590
784,Lynn,3358,1437
785,Lynn,2021,929
786,Lynn,2702,1197
787,Lynn,4184,1536
788,Lynn,2047,738
789,Lynn,827,328
790,Lynn,1542,659
791,Lynn,2002,810
792,Lynn,3396,1494
793,Lynn,2892,1277
794,Lynn,3317,1511
795,Lynn,3209,1419
796,Saugus,2685,995
797,Saugus,2161,882
798,Saugus,2359,1106
799,Saugus,2444,1062
800,Saugus,1475,699
801,Saugus,2405,1128
802,Saugus,304,110
803,Saugus,2234,1022
804,Saugus,1446,594
805,Saugus,2864,1193
806,Saugus,1049,411
807,Saugus,1316,484
808,Saugus,623,277
809,Saugus,41,12
810,Saugus,1461,600
811,Saugus,888,396
812,Saugus,2089,878
813,Saugus,1448,604
814,Saugus,1238,476
815,Melrose,4399,2240
816,Melrose,3154,1610
817,Melrose,3791,1578
818,Melrose,3664,1688
819,Melrose,3138,1505
820,Melrose,3163,1330
821,Melrose,1263,416
822,Melrose,1836,721
823,Melrose,3806,1338
824,Melrose,2473,1165
825,Melrose,2435,1144
826,Wakefield,2048,695
827,Wakefield,2909,1240
828,Wakefield,607,288
829,Wakefield,732,310
830,Wakefield,3012,1498
831,Wakefield,1150,486
832,Wakefield,1452,637
833,Wakefield,2416,1080
834,Wakefield,652,309
835,Wakefield,2772,1287
836,Wakefield,1906,915
837,Wakefield,747,326
838,Wakefield,911,390
839,Wakefield,50,17
840,Wakefield,3344,1503
841,Wakefield,2823,1273
842,Stoneham,1885,843
843,Stoneham,1701,689
844,Stoneham,3042,1310
845,Stoneham,1882,917
846,Stoneham,1725,776
847,Stoneham,1614,732
848,Stoneham,2935,1192
849,Stoneham,2125,904
850,Stoneham,3594,1757
851,Stoneham,1927,767
852,Stoneham,3107,1288
853,Winchester,4152,1658
854,Winchester,1404,420
855,Winchester,3431,1461
856,Winchester,2058,878
857,Winchester,3968,1664
858,Winchester,3833,1450
859,Winchester,1892,717
860,Winchester,2999,1160
861,Woburn,879,202
862,Woburn,2220,1046
863,Woburn,538,253
864,Woburn,578,243
865,Woburn,156,51
866,Woburn,37,14
867,Woburn,264,104
868,Woburn,0,0
869,Woburn,467,243
870,Woburn,16,4
871,Woburn,1717,779
872,Woburn,3839,1587
873,Woburn,2263,1029
874,Woburn,3394,1461
875,Woburn,0,0
876,Woburn,6,2
877,Woburn,2321,1002
878,Woburn,2472,1116
879,Woburn,1675,762
880,Woburn,1147,540
881,Woburn,2807,1365
882,Woburn,2357,1161
883,Woburn,2880,1206
884,Woburn,2762,1273
885,Woburn,1840,796
886,Woburn,1626,748
887,Woburn,3150,1350
888,Woburn,1982,925
889,Arlington,2286,1056
890,Arlington,3213,1576
891,Arlington,3256,1616
892,Arlington,3353,1622
893,Arlington,3212,1461
894,Arlington,2154,1022
895,Arlington,2968,1372
896,Arlington,1322,548
897,Arlington,915,393
898,Arlington,3214,1520
899,Arlington,3049,1469
900,Arlington,2222,1034
901,Arlington,1445,678
902,Arlington,2005,802
903,Arlington,3140,1412
