TAZ_ID,State,County,Town,RPA,Minority,Low_inc,Jobs30Hwy,Jobs60Trn,Retl30Hwy,Retl60Trn,HEdu20Hwy,HEdu40Trn,Heal20Hwy,Heal40Trn,TrnProdTm,TrnAttrTm,HwyProdTm,HwyAttrTm,JobsAccCmp,RetlAccCmp,HEduAccCmp,HealAccCmp,CongVMT_sqmi,TotalVMT_sqmi,TotalVHT_sqmi,CO_sqmi,NOX_sqmi,VOC_sqmi,CO2_sqmi
3094,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,149887,45690,12765,2118,0,0,0,0,63.893436,62.315113,24.533102,21.749327,146642.6563,12433.48828,0,0,199622.5759,298550.2748,14455.17602,291.6108,11.575321,7.349169,85022.82424
3095,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,164639,46923,15322,1956,0,0,0,0,65.097778,72.143257,19.347128,18.16898,162494.5,15078.50488,0,0,54075.53294,87895.1627,4912.148872,94.210258,3.572886,2.380008,27581.87728
3096,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,155876,17609,13487,458,0,0,0,0,86.717659,85.712486,26.060505,25.864492,154485.9531,13356.01563,0,0,65261.17583,97834.1762,3258.635036,94.800674,4.364263,2.020394,23985.0713
3097,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,165603,44559,14506,2058,0,0,0,0,64.645203,63.296822,20.006769,23.110426,161895.875,14124.76465,0,0,78652.26847,113435.7667,7802.007898,134.710634,5.69386,3.883743,44100.48654
3098,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,167278,54066,14633,2519,0,0,0,0,56.265236,59.592117,17.37525,17.249353,163484.3594,14227.06934,0,0,543030.7958,719974.6024,29806.01412,727.090649,34.336577,17.118893,201332.9008
3099,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,171922,53207,15959,3077,0,0,0,0,57.983635,57.27644,18.142036,17.795498,167047.2188,15430.02637,0,0,361246.2904,572292.9617,18817.83594,552.445553,25.582643,11.671121,139148.6451
3100,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,165903,46429,14534,2112,0,0,0,0,64.064255,66.822433,21.731733,21.700907,162751.1719,14206.2959,0,0,485434.2202,738007.1428,26025.37702,724.759389,34.441241,16.168134,190570.7669
3101,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,161445,39678,14123,1615,0,0,0,0,66.414406,74.126373,20.365936,20.084808,158891.7813,13860.73145,0,0,0,0,0,0,0,0,0
3102,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,179940,0,16410,0,0,0,0,0,119.095459,109.187485,20.790701,19.523504,179619.7813,16380.7959,0,0,48650.8942,92821.8339,3627.8185,82.214894,3.656406,2.008967,24072.6893
3103,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,147692,0,13014,0,0,0,0,0,0,0,22.265417,22.555012,147692,13014,0,0,25806.08669,40654.82975,1656.074766,36.269854,1.608014,0.900793,10644.28262
3104,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,184751,0,17018,0,0,0,0,0,0,0,21.926109,22.172077,184751,17018,0,0,9180.936826,29701.18035,1218.218409,27.033454,1.143847,0.662223,7814.840728
3105,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,185311,0,17479,0,0,0,0,0,118.811356,108.946739,19.852444,20.094347,184815.1719,17432.23242,0,0,5149.028514,26209.7323,1117.189212,22.944204,1.01822,0.582924,6974.17129
3106,MA,Worcester,Grafton,CMRPC,#N/A,#N/A,157088,0,13516,0,0,0,0,0,0,0,22.87262,22.798941,157088,13516,0,0,19753.28689,45598.28767,1896.53574,40.257292,1.713033,1.008072,11910.79496
3107,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,147226,11328,12962,592,0,0,0,0,75.182724,76.428139,20.951889,21.008707,144661.9219,12728.60645,0,0,0,1235.933656,81.657898,1.411115,0.052021,0.036565,414.674548
3108,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,157050,1873,13711,96,0,0,0,0,87.593872,91.901314,19.696041,19.223444,155055.875,13536.03809,0,0,3803.822691,22528.28804,1312.04239,24.481048,0.882178,0.6148,7045.013092
3109,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,164833,9660,14399,277,0,0,0,0,79.206841,77.564163,19.266571,18.812548,162060.2813,14146.66211,0,0,0,70554.02878,4169.485531,75.67242,2.7035,1.88132,21584.09865
3110,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,161875,36004,14153,1518,0,0,0,0,69.319778,69.889175,21.316969,21.624491,158611.3906,13825.39941,0,0,64208.01278,171854.2989,9080.766489,176.680029,6.976801,4.469014,51981.30208
3111,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,158191,47141,13883,2217,0,0,0,0,60.870724,61.309429,18.501009,18.563967,155015.5,13549.40918,0,0,0,19797.24577,1335.66435,22.97302,0.863739,0.589753,6740.114927
3112,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,156152,35246,13409,1524,0,0,0,0,69.46106,69.514633,20.434238,20.696632,152806.6719,13080.15625,0,0,33820.72523,51650.89864,2543.573026,51.005104,2.261789,1.299618,15404.70563
3113,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,150809,0,13029,0,0,0,0,0,126.539246,111.812889,23.718431,23.634235,150119.75,12969.45313,0,0,0,0,0,0,0,0,0
3114,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,159130,6708,13825,277,0,0,0,0,82.524742,85.07827,20.391123,20.144554,157484.2969,13678.7207,0,0,24159.71788,80656.98424,4013.458765,80.472409,3.104839,1.998774,23369.73357
3115,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,172608,2101,15431,111,0,0,0,0,87.61129,93.249229,20.146116,22.678822,170954.0625,15282.39551,0,0,37051.29219,65395.16774,3973.749456,70.67566,2.624175,1.822487,20805.93148
3116,MA,Worcester,Shrewsbury,CMRPC,#N/A,#N/A,188492,0,18261,0,0,0,0,0,116.627296,111.756889,20.085615,19.984146,188061.2969,18219.27344,0,0,27071.25094,52220.81562,1886.158633,51.678832,2.308801,1.10533,13101.34839
3117,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,162637,37072,14242,1546,0,0,0,0,65.65477,66.449097,18.854797,19.12771,159765.9375,13951.70508,0,0,39283.118,66816.36465,3919.224973,72.779184,3.100952,1.888865,22019.65986
3118,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,170443,44776,15708,2007,0,0,0,0,67.66378,70.077408,21.646912,21.97695,167498.8906,15387.01563,0,0,25140.45723,133160.3517,6822.127256,132.098933,5.361637,3.372162,39511.24532
3119,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,166370,11696,14997,518,0,0,0,0,78.886269,82.358391,20.027983,19.108223,163382.1563,14717.30762,0,0,9742.325739,44979.71036,2228.780924,44.884645,1.733097,1.113538,13002.21141
3120,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,170861,56456,15909,3170,0,0,0,0,54.793301,58.422466,16.617054,16.54512,166931.8906,15471.49414,0,0,6488.506029,77123.06838,3848.913474,77.564245,3.267572,1.92416,22845.53251
3121,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,175495,55589,16116,3189,0,0,0,0,63.118881,60.760151,23.531635,24.388813,171593.7813,15695.41211,0,0,995373.5704,1464755.009,48139.44936,1387.941996,64.540868,29.239757,348601.3377
3122,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,171945,54524,15957,2548,0,0,0,0,62.595852,65.289993,21.700926,21.881947,168754.2188,15592.62402,0,0,97438.13033,404686.1593,16932.97932,374.202576,17.70719,9.072917,109874.7078
3123,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,169907,51384,15892,2555,0,0,0,0,64.701393,63.643753,23.175365,24.921801,166592.7188,15519.05566,0,0,128600.7916,273458.1157,15395.71868,293.982744,12.869944,7.663126,89725.56179
3124,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,171018,57169,15935,3240,0,0,0,0,62.347584,61.612099,23.881544,24.297159,167362.2969,15527.36328,0,0,109494.6441,459135.5416,21701.12163,433.893993,19.71658,11.02214,132633.6979
3125,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,170938,58422,15916,3165,0,0,0,0,63.069164,64.982948,23.821957,24.203548,167893.5625,15570.98438,0,0,9239.222628,128906.5464,5641.230627,115.881475,5.037825,2.942372,35229.68768
3126,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,174243,65389,16095,3721,0,0,0,0,60.030743,57.747692,23.398319,24.038738,170166.0156,15631.54883,0,0,62318.21502,347553.3692,16268.71514,329.296307,13.045276,8.337528,98139.08805
3127,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,175826,38058,15991,1663,0,0,0,0,80.053658,81.120468,24.962944,24.58391,173031.2188,15700.33887,0,0,30708.79663,139395.5142,7123.037791,141.036356,5.597958,3.548498,41494.54547
3128,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,166195,2101,14991,111,0,0,0,0,83.083931,86.707832,20.225271,19.953485,163520.6875,14748.49414,0,0,10393.21005,49742.20973,2343.341931,48.368175,1.91014,1.196306,14054.58677
3129,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,182917,34448,18266,1592,0,0,0,0,71.543877,77.274582,23.122231,24.90243,180334.0156,17975.91602,0,0,135033.4602,241816.312,8244.00276,238.638615,11.138891,5.120269,61120.40991
3130,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,157805,18253,14523,652,0,0,0,0,70.242447,79.572014,19.949501,20.029881,155126.8438,14256.79981,0,0,0,50454.58731,2179.593483,47.14563,1.963527,1.169874,13955.74595
3131,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,160471,15632,14637,625,0,0,0,0,74.459435,87.330925,22.812309,22.879284,158256.5625,14422.77051,0,0,0,0,0,0,0,0,0
3132,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,178232,2362,16998,124,0,0,0,0,87.999512,90.129181,23.107367,22.488625,175970.5,16781.01953,0,0,68761.84835,136403.941,4859.368731,147.446013,6.57171,2.93473,34730.3932
3133,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,191473,0,19490,0,0,0,0,0,0,0,23.121353,22.12772,191473,19490,0,0,74167.6622,114185.8798,3468.301206,122.572921,5.615212,2.321052,27559.35389
3134,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,164442,32061,15203,1002,0,0,0,0,70.317589,75.162338,22.246616,22.618628,162210.25,14963.5918,0,0,243965.6508,393433.7699,15952.37998,393.568114,18.085639,9.116081,107054.0518
3135,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,165768,28438,15368,1438,0,0,0,0,70.696281,78.743217,20.241795,20.374866,163087.0469,15096.05957,0,0,0,20101.8197,1026.195523,20.338129,0.829466,0.497775,5887.115313
3136,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,153348,15428,13061,368,0,0,0,0,80.44397,86.449966,18.221554,18.464029,151302.8125,12872.77832,0,0,17853.28128,23789.1088,1983.529145,30.656287,1.089621,0.917618,10056.38768
3137,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,154287,638,13553,168,0,0,0,0,92.853783,94.459236,22.442944,22.541704,153347.6719,13471.1709,0,0,678.258585,7129.500284,189.655294,5.586148,0.293453,0.126783,1529.034533
3138,MA,Worcester,Millbury,CMRPC,#N/A,#N/A,142633,0,12549,0,0,0,0,0,0,0,21.577162,21.55994,142633,12549,0,0,164359.5868,267249.1919,6829.78176,275.093444,14.485586,5.003573,62884.80512
3139,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,164481,50071,14178,2784,0,0,0,0,61.99324,62.910938,17.523855,17.532755,161113.3125,13842.61426,0,0,0,94440.54588,6049.907822,107.219895,3.623229,2.708667,30640.45162
3140,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,167632,52700,14551,3075,0,0,0,0,57.669468,57.568523,17.27902,17.24378,163546.8906,14143.10059,0,0,422434.4045,635455.0995,21276.27804,617.417726,27.796876,12.99516,152885.1947
